course,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,adj_gir,less_150_sg,greater_150_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,par,yardage,yardage_4_5,yardage_3,adj_penalties,adj_ob
"Quail Hollow Club (PGA Championship)",2.84,0.23,0.25,-0.26,0,-0.038,-0.027,-0.05,-0.095,0.008,0.5345,-0.067,0.002,31.4,undefined,undefined,undefined,0.0469,290.5,19.1,0.5788,-0.017,-0.052,-0.013,0.013,71,7488,476,208,undefined,undefined
"Memorial Park Golf Course",0.67,0.08,0.09,-0.22,0,-0.008,0.002,-0.049,-0.023,0.03,0.6248,-0.02,0.001,31.8,undefined,undefined,undefined,0.0212,292.7,16.9,0.5559,-0.002,-0.033,-0.006,0.012,70,7099,479,177,undefined,undefined
"Harbour Town Golf Links",-0.15,0.12,0.04,-0.34,0,-0.011,0.003,0.036,0.08,0.016,0.6005,0.008,-0.044,32.5,undefined,undefined,undefined,0.0339,275.6,19.5,0.6162,-0.002,0.044,-0.026,-0.053,71,6971,446,183,undefined,undefined
"Waialae Country Club",-1.23,0.03,0,-0.66,0,0.003,0.007,0.033,0.023,0.045,0.6952,0.044,0.03,34.9,undefined,undefined,undefined,0.0363,291,21.1,0.5655,0.003,0.036,0.035,0.012,70,7023,449,185,undefined,undefined
"PGA West (Palmer)",-1.98,0.03,0.05,-0.51,0,-0.004,0.002,0.025,0.081,-0.016,0.6639,0.006,-0.035,34.9,undefined,undefined,undefined,0.0827,277.8,15,0.6311,-0.001,0.045,-0.021,-0.012,72,6844,460,173,undefined,undefined
"The Summit Club",-3.05,-0.03,-0.09,-0.52,0,-0.003,0.004,0.054,0.084,-0.009,0.7235,0.09,0.082,37,undefined,undefined,undefined,0.0543,298.4,19.8,0.6491,0,0.048,0.085,0.056,72,7359,474,181,undefined,undefined
"The Country Club of Jackson",-1.44,0.01,-0.03,-0.3,0,-0.002,0.006,0.004,0.028,0.049,0.7008,0.025,0.005,29,undefined,undefined,undefined,0.0187,287.5,17.9,0.5465,0.001,0.018,0.013,0,72,7209,462,186,undefined,undefined
"PGA National Resort (The Champion)",1.41,0.19,0.11,-0.35,-0.001,0.006,0.01,-0.001,0.064,0.016,0.5985,-0.021,-0.07,29.5,undefined,undefined,undefined,0.0451,277.1,16.3,0.6025,0.004,0.019,-0.054,-0.041,70,7020,448,187,undefined,undefined
"Plainfield CC",1.05,0.07,0.1,-0.21,-0.001,-0.03,-0.017,-0.018,-0.056,-0.05,0.6434,-0.022,-0.007,32.9,undefined,undefined,undefined,0.0114,282.2,21.7,0.5511,-0.013,-0.036,-0.014,-0.015,70,6829,438,175,undefined,undefined
"Oakdale Golf &amp; Country Club",-0.76,-0.02,0.03,-0.37,-0.001,0.003,0.014,0.019,-0.054,0.036,0.6374,0.017,-0.012,29.8,undefined,undefined,undefined,0.0121,282.4,19.2,0.5556,0.004,-0.009,0.001,-0.035,72,7231,445,188,undefined,undefined
"Wilmington Country Club",0.17,0.1,0.03,-0.19,-0.001,0.03,0.001,-0.009,-0.024,0.05,0.6523,-0.015,0.009,27.8,undefined,undefined,undefined,0,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,71,7424,475,194,undefined,undefined
"Silverado Resort and Spa (North Course)",-0.98,0.09,0,-0.33,-0.001,-0.005,-0.005,-0.019,-0.015,0.007,0.6848,0.001,-0.008,26.4,undefined,undefined,undefined,0.0178,286.8,21.2,0.5135,-0.003,-0.012,-0.004,-0.01,72,7092,452,190,undefined,undefined
"The Los Angeles Country Club (North Course)",1.9,0.17,0.15,-0.17,-0.001,-0.029,-0.026,-0.023,-0.05,-0.114,0.6078,-0.04,0.035,43,undefined,undefined,undefined,0.0097,294.8,19.7,0.6615,-0.015,-0.023,0.01,0.033,70,7335,482,213,undefined,undefined
"Bellerive CC",0.42,0.08,0.05,-0.27,-0.002,0.013,0.004,0.015,-0.039,0.019,0.65,0.032,0.034,34.6,undefined,undefined,undefined,0.0527,284.9,18.6,0.6484,0.004,0.004,0.033,0.003,70,7248,462,195,undefined,undefined
"Valhalla Golf Club",0.31,0.06,0.1,-0.33,-0.002,-0.002,0.013,-0.007,-0.022,0.009,0.6197,0.003,0.026,39.2,undefined,undefined,undefined,0.0409,282.3,14.9,0.6607,0.002,-0.007,0.02,-0.009,71,7397,471,201,undefined,undefined
"Detroit Golf Club",-1.94,0.01,-0.04,-0.38,-0.002,-0.008,-0.004,0.027,-0.012,0.018,0.7284,0.002,0.049,35.7,undefined,undefined,undefined,0.0083,297,20,0.6581,-0.004,0.01,0.028,0.046,72,7320,470,183,undefined,undefined
"Baltusrol GC",0.88,0.06,0.09,-0.25,-0.002,-0.021,0.002,0.018,-0.027,0.05,0.6803,0.009,0.064,30.2,undefined,undefined,undefined,0.0336,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022,70,7282,461,207,undefined,undefined
"Bethpage Black",2.11,0.16,0.18,-0.23,-0.003,-0.023,-0.012,-0.009,0.002,-0.005,0.5818,-0.023,-0.028,30.6,undefined,undefined,undefined,0.0059,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008,71,7355,469,196,undefined,undefined
"St. Andrews Links (Old Course)",-0.29,0.16,0,-0.33,-0.003,0.061,-0.027,-0.108,-0.004,-0.348,0.7752,-0.066,-0.047,71.9,undefined,undefined,undefined,0.0297,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07,72,7247,430,184,undefined,undefined
"Trinity Forest Golf Club",-1.8,-0.02,-0.02,-0.49,-0.003,-0.011,0.005,-0.012,0.026,-0.023,0.7615,0.027,0.048,59.9,undefined,undefined,undefined,0.0427,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059,71,7120,457,178,undefined,undefined
"Augusta National Golf Club",2.12,0.18,0.24,-0.25,-0.003,-0.032,-0.053,-0.105,-0.009,-0.028,0.5723,-0.077,-0.049,51.7,undefined,undefined,undefined,0.0254,293.5,21.4,0.7093,-0.024,-0.08,-0.057,0.014,72,7470,481,182,undefined,undefined
"Glen Oaks Club",1.61,0.14,0.13,-0.23,-0.004,-0.012,-0.029,-0.009,-0.073,-0.009,0.6293,-0.034,0.018,37,undefined,undefined,undefined,0.0264,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021,70,7246,460,201,undefined,undefined
"Oak Hill Country Club",2.86,0.16,0.19,-0.03,-0.004,-0.018,0.003,0.007,-0.082,-0.053,0.5652,-0.001,-0.022,28,undefined,undefined,undefined,0.0358,288.5,20.6,0.4525,-0.005,-0.042,-0.015,-0.072,70,7339,469,196,undefined,undefined
"St. George's G&amp;CC",0.3,0.04,0.11,-0.34,-0.004,-0.024,0.004,0.012,-0.033,-0.074,0.6171,-0.017,-0.009,31.3,undefined,undefined,undefined,0.0162,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019,70,7006,464,196,undefined,undefined
"Southern Hills Country Club",2.65,0.24,0.17,-0.15,-0.005,-0.027,0,-0.041,-0.04,-0.029,0.5363,-0.052,-0.027,44.2,undefined,undefined,undefined,0.0388,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032,70,7418,471,213,undefined,undefined
"Hamilton Golf &amp; Country Club",-0.3,0.1,0.02,-0.46,-0.005,-0.021,-0.011,-0.003,-0.029,0.039,0.667,0.006,0.011,33.2,undefined,undefined,undefined,0.0193,289.7,17.8,0.5562,-0.01,0.002,0.009,0.006,70,6925,437,204,undefined,undefined
"Torrey Pines South (U.S. Open)",2.57,0.18,0.2,-0.12,-0.005,-0.025,-0.019,0.005,-0.034,-0.021,0.5615,-0.049,-0.017,28.9,undefined,undefined,undefined,0.0111,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003,71,7635,490,194,undefined,undefined
"TPC Four Seasons Resort",-0.01,0.02,0.06,-0.4,-0.005,-0.001,0.011,-0.026,0.026,0.035,0.6267,0.001,0.025,30.2,undefined,undefined,undefined,0.0608,284.9,17.9,0.5711,0,-0.006,0.016,-0.014,70,6978,446,183,undefined,undefined
"Ocean Course at Kiawah Island",2.57,0.29,0.21,-0.17,-0.007,-0.012,0.004,-0.007,-0.04,-0.288,0.532,-0.089,-0.044,36.7,undefined,undefined,undefined,0.0616,293,17.9,0.5894,-0.005,-0.02,-0.056,-0.017,72,7671,489,207,undefined,undefined
"The Riviera Country Club",0.59,0.09,0.13,-0.42,-0.011,-0.035,-0.011,0.004,0.048,-0.059,0.5555,-0.006,0.012,34,undefined,undefined,undefined,0.0064,286.6,19.7,0.5166,-0.017,0.009,0.007,-0.029,71,7245,463,191,undefined,undefined
"Pebble Beach Golf Links",-0.61,0.05,0.03,-0.28,-0.011,-0.039,-0.006,0.038,0.048,-0.023,0.6568,-0.034,-0.044,40.6,undefined,undefined,undefined,0.0493,272.2,17.8,0.694,-0.017,0.027,-0.04,-0.025,72,6888,443,171,undefined,undefined
"Torrey Pines Golf Course (South Course)",1.13,0.09,0.17,-0.24,-0.012,-0.048,-0.009,0.027,-0.007,0.001,0.6134,-0.006,0.007,26.6,undefined,undefined,undefined,0.0171,288.9,15.6,0.531,-0.02,0.007,0.003,-0.027,72,7584,486,194,undefined,undefined
"Club de Golf Chapultepec",0.43,0.18,0.05,-0.27,-0.013,-0.036,-0.032,0.006,0.034,-0.078,0.6326,-0.052,0.036,31,undefined,undefined,undefined,0.0152,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061,71,7287,464,197,undefined,undefined
"Albany GC",-1.06,0.02,0.04,-0.3,-0.013,0.084,0.023,-0.084,-0.021,-0.094,0.584,-0.002,0,39.2,undefined,undefined,undefined,0.0843,302.4,17.7,0.6638,0.024,-0.065,0,0.032,72,7309,490,187,undefined,undefined
"Winged Foot GC",4.45,0.29,0.29,-0.11,-0.015,-0.024,-0.058,-0.049,-0.115,-0.022,0.5063,-0.008,-0.018,31.9,undefined,undefined,undefined,0.0032,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069,70,7392,470,204,undefined,undefined
"The Renaissance Club",0.83,0.11,0.11,-0.27,-0.021,-0.028,0.003,0.07,0.107,-0.01,0.6202,-0.04,-0.022,32.3,undefined,undefined,undefined,0.0063,294.2,20.5,0.5131,-0.016,0.079,-0.028,-0.02,70,7077,477,177,undefined,undefined
